Day of adulthood,,Treatment
4,0,#52EV
4,0,#52EV
4,0,#52EV
4,0,#52EV
4,0,#52EV
4,0,#52EV
4,0,#52EV
4,0,#52EV
4,0,#52EV
8,0,#52EV
8,0,#52EV
8,0,#52EV
8,0,#52EV
8,0,#52EV
8,0,#52EV
8,0,#52EV
8,0,#52EV
8,0,#52EV
8,0,#52EV
10,1,#52EV
10,1,#52EV
11,0,#52EV
11,0,#52EV
11,0,#52EV
11,0,#52EV
11,0,#52EV
11,0,#52EV
11,0,#52EV
11,0,#52EV
11,0,#52EV
11,0,#52EV
11,0,#52EV
11,0,#52EV
11,1,#52EV
11,1,#52EV
15,0,#52EV
15,0,#52EV
15,0,#52EV
15,0,#52EV
15,0,#52EV
15,0,#52EV
15,0,#52EV
15,0,#52EV
15,0,#52EV
15,0,#52EV
15,0,#52EV
15,0,#52EV
15,0,#52EV
15,1,#52EV
15,1,#52EV
17,0,#52EV
17,0,#52EV
17,0,#52EV
17,1,#52EV
17,1,#52EV
17,1,#52EV
17,1,#52EV
17,1,#52EV
17,1,#52EV
17,1,#52EV
17,1,#52EV
17,1,#52EV
17,1,#52EV
17,1,#52EV
17,1,#52EV
18,1,#52EV
18,1,#52EV
18,1,#52EV
18,1,#52EV
18,1,#52EV
19,1,#52EV
22,0,#52EV
22,0,#52EV
22,0,#52EV
22,0,#52EV
22,0,#52EV
22,1,#52EV
22,1,#52EV
22,1,#52EV
22,1,#52EV
22,1,#52EV
22,1,#52EV
22,1,#52EV
22,1,#52EV
22,1,#52EV
22,1,#52EV
22,1,#52EV
23,1,#52EV
23,1,#52EV
23,1,#52EV
23,1,#52EV
23,1,#52EV
23,1,#52EV
23,1,#52EV
23,1,#52EV
23,1,#52EV
23,1,#52EV
23,1,#52EV
23,1,#52EV
24,1,#52EV
24,1,#52EV
24,1,#52EV
24,1,#52EV
25,1,#52EV
25,1,#52EV
26,1,#52EV
26,1,#52EV
26,1,#52EV
26,1,#52EV
26,1,#52EV
26,1,#52EV
26,1,#52EV
26,1,#52EV
26,1,#52EV
29,1,#52EV
29,1,#52EV
29,1,#52EV
29,1,#52EV
29,1,#52EV
29,1,#52EV
8,0,#52lmn-1
8,0,#52lmn-1
8,0,#52lmn-1
8,0,#52lmn-1
10,1,#52lmn-1
10,1,#52lmn-1
10,1,#52lmn-1
10,1,#52lmn-1
10,1,#52lmn-1
10,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
11,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
12,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
15,1,#52lmn-1
