Day,# Missing,# dead,treatment
1,0,0,#52EV
4,9,0,#52EV
8,10,0,#52EV
10,0,2,#52EV
11,12,2,#52EV
12,0,0,#52EV
15,13,2,#52EV
17,3,12,#52EV
18,0,5,#52EV
19,0,1,#52EV
22,5,11,#52EV
23,0,12,#52EV
24,0,4,#52EV
25,0,2,#52EV
26,0,9,#52EV
29,0,6,#52EV
1,0,0,#52lmn-1
4,0,0,#52lmn-1
8,4,0,#52lmn-1
10,0,6,#52lmn-1
11,0,13,#52lmn-1
12,0,28,#52lmn-1
15,0,54,#52lmn-1
17,2,12,#52lmn-1
18,0,1,#52lmn-1
1,0,0,DG5EV
2,1,0,DG5EV
3,0,0,DG5EV
4,1,0,DG5EV
5,0,0,DG5EV
6,6,0,DG5EV
7,6,1,DG5EV
8,6,1,DG5EV
9,1,1,DG5EV
10,0,2,DG5EV
11,6,4,DG5EV
12,0,9,DG5EV
13,0,8,DG5EV
14,2,8,DG5EV
15,2,8,DG5EV
16,2,13,DG5EV
17,0,5,DG5EV
18,0,7,DG5EV
19,0,8,DG5EV
20,0,3,DG5EV
21,1,1,DG5EV
22,1,2,DG5EV
23,0,2,DG5EV
24,0,1,DG5EV
1,0,0,DG11EV
4,6,0,DG11EV
7,13,0,DG11EV
9,4,2,DG11EV
10,1,2,DG11EV
11,0,6,DG11EV
14,10,18,DG11EV
16,1,4,DG11EV
18,8,5,DG11EV
21,1,11,DG11EV
23,1,7,DG11EV
25,0,9,DG11EV
28,0,6,DG11EV
30,0,3,DG11EV
33,1,1,DG11EV
1,0,0,DG11Unc-84
4,10,0,DG11Unc-84
7,17,1,DG11Unc-84
9,4,0,DG11Unc-84
10,0,4,DG11Unc-84
11,0,3,DG11Unc-84
14,1,6,DG11Unc-84
16,1,6,DG11Unc-84
18,0,11,DG11Unc-84
21,3,16,DG11Unc-84
23,0,17,DG11Unc-84
25,0,7,DG11Unc-84
28,0,10,DG11Unc-84
30,0,3,DG11Unc-84
1,0,0,#13Zyg-12
5,2,0,#13Zyg-12
6,0,0,#13Zyg-12
8,2,0,#13Zyg-12
9,0,1,#13Zyg-12
12,0,7,#13Zyg-12
14,2,7,#13Zyg-12
16,0,9,#13Zyg-12
19,0,16,#13Zyg-12
21,0,25,#13Zyg-12
23,0,23,#13Zyg-12
26,0,21,#13Zyg-12
27,0,4,#13Zyg-12
29,0,0,#13Zyg-12
33,0,1,#13Zyg-12
1,0,0,#15Zyg-12
4,0,0,#15Zyg-12
6,0,0,#15Zyg-12
8,4,2,#15Zyg-12
11,0,5,#15Zyg-12
13,15,5,#15Zyg-12
15,0,4,#15Zyg-12
18,1,14,#15Zyg-12
20,2,15,#15Zyg-12
22,0,15,#15Zyg-12
25,0,13,#15Zyg-12
27,0,13,#15Zyg-12
29,0,7,#15Zyg-12
31,0,4,#15Zyg-12
33,0,0,#15Zyg-12
35,0,1,#15Zyg-12
1,0,0,#51EV
4,0,0,#51EV
6,1,0,#51EV
7,1,0,#51EV
11,22,4,#51EV
12,1,0,#51EV
13,0,3,#51EV
14,1,4,#51EV
15,1,3,#51EV
18,0,6,#51EV
20,0,13,#51EV
21,0,17,#51EV
22,0,6,#51EV
25,2,24,#51EV
26,0,1,#51EV
27,4,1,#51EV
28,0,1,#51EV
29,0,2,#51EV
32,0,2,#51EV
1,0,0,#51lmn-1
4,0,0,#51lmn-1
6,0,0,#51lmn-1
7,0,0,#51lmn-1
11,0,7,#51lmn-1
12,0,16,#51lmn-1
13,0,31,#51lmn-1
14,0,27,#51lmn-1
15,0,27,#51lmn-1
18,0,12,#51lmn-1
1,0,0,#11Anc-1 3’UTR
5,9,0,#11Anc-1 3’UTR
7,2,0,#11Anc-1 3’UTR
9,1,1,#11Anc-1 3’UTR
12,1,7,#11Anc-1 3’UTR
14,0,9,#11Anc-1 3’UTR
16,1,15,#11Anc-1 3’UTR
19,0,17,#11Anc-1 3’UTR
21,0,17,#11Anc-1 3’UTR
23,1,8,#11Anc-1 3’UTR
26,0,18,#11Anc-1 3’UTR
28,0,2,#11Anc-1 3’UTR
30,0,6,#11Anc-1 3’UTR
34,0,5,#11Anc-1 3’UTR
